id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
16,Connecting The Dots (Again),"Again, we connect the dots and find that it forms a curve!",openlectures,http://youtu.be/VfTd2xLaxfw,Understand the supply curve as a locus of points describing the relationship between price and quantity for the producer,How is the supply curve formed?,"In the same way as the demand curve! When we connect the many dots together! This, in mathematics-speak, is called a loci.",2,http://www.mediafire.com/?66aj6ceryo2ocwp,,I Supply,Demand and Supply,Resource Allocation in Competitive Markets,Economics
17,Producer Surplus,"In the previous lesson, we learnt about consumer surplus. Does the same apply for the producers (and hence the supply curve) as well?",openlectures,http://youtu.be/lHwwcdYCYfc,Define producer's surplus using the supply curve,What is a producer's surplus?,"It is the welfare of the producer! It is represented by the area above the supply curve (not below, as in the case of the demand curve) and below the price.",3,http://www.mediafire.com/?yoqo45b4kjlaz9r,,I Supply,Demand and Supply,Resource Allocation in Competitive Markets,Economics
18,Supply Vs Quantity Supplied,Remember the previous lesson about demand and quantity demanded? Same here!,openlectures,http://youtu.be/ws0Vf8MxeS4,Differentiate between supply and quantity supplied,What are the different causes for changes in supply and changes in quantity supplied?,Price factors cause shifts along the supply curve. Non price factors cause shifts of the entire supply curve.,4,http://www.mediafire.com/?c95e8eolero9ewm,,I Supply,Demand and Supply,Resource Allocation in Competitive Markets,Economics
19,Attaining Zen (or Equilibrium),"So we find the final price and quantity where demand meets supply right? Well, yes, but things are not always that simple. We need a proper logical explanation of why that intersection gives the equilibrium!",openlectures,http://youtu.be/bX38BnoHo7A,Understand how equilibrium is achieved through the interaction of demand and supply,How is equilibrium attained?,"At a price higher than the equilibrium price, quantity supplied is higher than quantity demanded. There is a surplus. Producers will lower their price to reduce extra stock. In response to the lower price, consumers purchase more, eventually reaching the equilibrium price and quantity when price is no longer lowered and quantity demanded no longer increases. At a price lower than the equilibrium price, quantity demanded is more than quantity supplied. There is a shortage. Consumers bid up the price, increasing prices. In response to the increased prices, producers produce more, and this goes on until the price and quantity reaches the equilibrium price, where quantity demand and quantity supplied equates.",1,http://www.mediafire.com/?pujrhjdgpyzy1yh,,The Markets,Demand and Supply,Resource Allocation in Competitive Markets,Economics
20,The Efficient Equilibrium,So what's so special about this equilibrium that we have found? Is it good? Well it is kind of awesome. Let's find out why.,openlectures,http://youtu.be/FdtfEhh0v4Q,Understand how the equilibrium gives the most efficient outcome for both consumers and producers,How is the equilibrium price and quantity the most efficient outcome?,"At any quantity or price more or less than the equilibrium, consumer and producer surpluses will be less than what we can obtain if we stuck to the equilibrium!",2,http://www.mediafire.com/?0rc8u6kt9evbrei,,The Markets,Demand and Supply,Resource Allocation in Competitive Markets,Economics
21,The Invisible Hand,"If demand and supply tends towards an equilibrium, are there any larger social implications? Turns out there is, and it's probably the most important lesson you'll learn in economics. It is about achieving a lot by doing nothing.",openlectures,http://youtu.be/b6AjsoLO_vk,Understand what is meant by the invisible hand and how it allocates goods and services in an economy.,What is the driving force behind the invisible hand?,The price mechanism!,3,http://www.mediafire.com/?2exvpyzxu9yynon,,The Markets,Demand and Supply,Resource Allocation in Competitive Markets,Economics
22,Demand Moves,"In real life, the curves don't stay where they are. Let's see what happens when the demand curve moves.",openlectures,http://youtu.be/Tl4YxG3_LRs,Understand what happens when the demand curve moves,What happens when the demand curve shifts?,"At the original price, quantity demanded is higher than quantity supplied. There is a shortage. Consumers bid up prices, causing prices to increase and producers produce more. This goes on until prices hit the equilibrium price where quantity demanded is matched by quantity supplied.",1,http://www.mediafire.com/?2x3mcc7bcpxhka1,,Shifts,Demand and Supply,Resource Allocation in Competitive Markets,Economics
23,Supply Moves,"Now that we know what happens when the demand curve moves, what about supply?",openlectures,http://youtu.be/1VC8q3_5tXg,Understand what happens when the supply curve moves,What happens when the supply curve shifts?,"The same happens! At the original price, quantity supplied is higher than quantity demanded. There is a surplus. So prices goes down as suppliers try to reduce stock. Consumers consume more due to low prices. This goes on until prices hit the equilibrium price where quantity demanded is matched by quantity supplied.",2,http://www.mediafire.com/?8gz2koo0rm0b48c,,Shifts,Demand and Supply,Resource Allocation in Competitive Markets,Economics
24,Demand Moves More,"However, curves rarely move alone. In fact, they move together! Now let's see what happens.",openlectures,http://youtu.be/GysWEKHnEAM,Understand what happens when both curves move. Viewers will be taught to evaluate which curve moves more.,What happens when both curves move?,"The eventual price and quantity depends on the EXTENT of movement of the two curves. In this case, since the demand curve increases more, the equilibrium quantity is higher and the equilibrium price is higher than the original!",3,http://www.mediafire.com/?xrxve6l8vy6caqt,,Shifts,Demand and Supply,Resource Allocation in Competitive Markets,Economics
25,Supply Moves More,So we understand what happens when the demand curve moves more than the supply curve. But what if the supply curve moves more?,openlectures,http://youtu.be/PFx5qIh4kSM,Understand what happens when the supply curve moves more,What happens when the supply curve increases more than the demand curve?,"Equilibrium quantity is higher, and equilibrium price is lower than the original!",4,http://www.mediafire.com/?poqxafb5ouyx6qd,,Shifts,Demand and Supply,Resource Allocation in Competitive Markets,Economics
26,Twist And Turn,"Now you might be wondering - if the demand curve is steeper, does that impact the final price? Let's see now.",openlectures,http://youtu.be/LaZEevOGntc,Understand that the shape of the curves matter when judging movement,Does the steepness of the curve matter?,Of course yes! We will explore this in the next topic.,5,http://www.mediafire.com/?266y9bubxw3quhj,,Shifts,Demand and Supply,Resource Allocation in Competitive Markets,Economics
27,What Is Elasticity?,"When I say Price Elasticity of Demand, what exactly do I mean? This checkpoint explains that to you.",openlectures,http://youtu.be/w2mrDOfAGhI,Introduce the concept of price elasticity,So what does PRICE elasticity of DEMAND mean?,"It simply asks the question, ""To what extent does QUANTITY DEMANDED change when PRICE changes?""",1,http://www.mediafire.com/?sk23os37n9m1tst,,Concept of Elasticity,Elasticities,Resource Allocation in Competitive Markets,Economics
28,Elasticity = Gradient?,"Is the elasticity the same as the gradient of a curve? Well, not quite! And don't worry. We are not going to go extremely mathy here.",openlectures,http://youtu.be/FYPzKsSdnNk,Understand the elasticity is not the same as the gradient of the curve.,When is Price Elasticity of Demand the gradient?,Only when it passes through the origin!,2,http://www.mediafire.com/?6ydq66qpwkd6773,,Concept of Elasticity,Elasticities,Resource Allocation in Competitive Markets,Economics
29,Elastic Framework,"Now that you know what elasticity is, we introduce a systematic way to approach elasticities in general.",openlectures,http://youtu.be/0I_6c0GjV1Y,Explain the elasticity concepts in an organised manner,What framework do we adopt?,Sign and Value. Sign and Value. Sign and Value. Remember this!,3,http://www.mediafire.com/?l8h222t7fz0bo8m,,Concept of Elasticity,Elasticities,Resource Allocation in Competitive Markets,Economics
30,Price Elasticity Of Demand (PED),"With the framework in mind, let's start on the PED. First, we define the PED.",openlectures,http://youtu.be/6E5YjIp-6Tg,Define Price Elasticity of Demand,What is the definition of PED?,"The responsiveness of quantity demanded to a change in price, ceteris paribus.",1,http://www.mediafire.com/?l54v3j668a73l35,,Price Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
31,Different Values Of PED,"Now that we can define the PED, let's explore the different values of the PED. The sign of the PED is always negative, and is only written as positive as a convention.",openlectures,http://youtu.be/VjU74kV1Mfo,Understand what different values of PED Means,What is the value for the PED of a good that is price inelastic?,"Since its demand is price inelastic, quantity demanded changes less than proportionately when price changes. This means that the extent of change is less than 1. Hence, the values will be between 0 and 1.",2,http://www.mediafire.com/?qfpvnszspx0gxs5,,Price Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
32,Determinants Of PED,What are the underlying factors that result in the various PED values? Here we list some of the more important ones.,openlectures,http://youtu.be/amoe1EUJu3A,Understand the underlying factors that determine PED values,What are the determinants of the PED?,"Number of substitutes, proportion of income spent on the good, time period.",3,http://www.mediafire.com/?t8yjbmbv45qn9vu,,Price Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
33,Consumer Expenditure,"So after learning about PED, how can we apply it? Here's the first use of the PED - determining the amount of consumer expenditure.",openlectures,http://youtu.be/k5_rTTAamtc,Use the PED to determine consumer expenditures.,"For a good with a price inelastic demand, when the price increases, what happens to the quantity demanded? What then happens to revenue?","Quantity demanded decreases (remember PED is negative?) less than proportionately (because demand is price inelastic). Since quantity demanded decreases to a smaller extent than price increases, revenue increases!",4,http://www.mediafire.com/?02xac3h8k8rptks,,Price Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
34,The Taxman,What else is the PED useful for? We can use it to analyse taxation as well!,openlectures,http://youtu.be/9q5k6-0ufH0,Use the PED to understand how taxation affects different people,"Cigarettes are price inelastic. When the tax amount is raised on cigarettes, what can be expected to happen?",Quantity demanded will decrease less than proportionately. Hence tax revenue will increase!,5,http://www.mediafire.com/?jcmj9y2w7hacghj,,Price Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
35,Funny Shapes,Now let's investigate two special cases of the PED when the demand curve looks a little funny - When PED is 0 and when it is infinite.,openlectures,http://youtu.be/bVApQCDob7I,Analyse a special case of PED (infinites and zeros),What PED does a good have when the demand curve is perfectly horizontal?,"In this case, if the price changes, the quantity demanded will change by an infinite proportion. Hence the PED is infinite.",6,http://www.mediafire.com/?hy3a4rqxi34823o,,Price Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
36,Cross Elasticity Of Demand (XED),"We are done with our first elasticity concept! Now let's move on to Cross Elasticity of Demand. First, let's define it!",openlectures,http://youtu.be/87zyO2VtsiM,Define XED,What is the definition of the XED?,"Responsiveness of demand of good A (not quantity demanded!) to a change in the price of good B, ceteris paribus.",1,http://www.mediafire.com/?jd49kta2yd2llhd,,Cross Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
37,Different Values Of XED,So what do the different values of XED mean? Different values may indicate that the good is a substitute or a complement.,openlectures,http://youtu.be/1Xvx9JV6Lmc,Understand what the different values of the XED mean,What is the XED of a strong substitute?,"If Good A and B are strong substitutes, then when the price of Good B increases, the quantity demanded of Good B decreases. As a substitute, Good A's demand will increase! (Always remember to use this chain of reasoning!)",2,http://www.mediafire.com/?1fqrvlb1b1ppja1,,Cross Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
38,Determinants And Usefulness Of XED,So what determines the XED and how is it used? Turns out that it is fairly simple!,openlectures,http://youtu.be/kn2KDHheLwA,Understand the underlying determinants and usefulness of XED.,Who will find the XED useful?,"Any business person or marketing person in charge of pricing policies! Or perhaps in a case study, a CEO!",3,http://www.mediafire.com/?mkzdsx7jky5icvf,,Cross Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
39,Income Elasticity Of Demand (YED),Now let's move on to the third elasticity concept - Income Elasticity of Demand! First let's define it.,openlectures,http://youtu.be/Qp4QXSyGYRk,Define YED,What is the definition of YED?,"Responsiveness of demand to a change in income, ceteris paribus.",1,http://www.mediafire.com/?7c6irukhpicgpx7,,Income Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
40,Different Values Of YED,"So what do the different values of the YED mean? Well it can make the difference between a normal good, luxury good, and a inferior good!",openlectures,http://youtu.be/fE9M0XzIvEM,Understand the different values of the YED,What is the YED of an inferior good?,"The demand of the inferior good should decrease when income increases. Hence, the YED is negative!",2,http://www.mediafire.com/?gdmuj4jlpjh0xwi,,Income Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
41,Determinants And Usefulness Of YED,"So what is the YED good for? Again, like the XED, it is very useful for firms!",openlectures,http://youtu.be/5D-nG9_bGe8,Understand the underlying determinants and the usefulness of YED,How is the YED useful for firms?,"If a firm wants to consider the effects of a recession (or the opposite - an economic boom) on the sales of its goods, it should consider the YED!",3,http://www.mediafire.com/?dkuxd1ja6q0jq1r,,Income Elasticity of Demand,Elasticities,Resource Allocation in Competitive Markets,Economics
42,Price Elasticity Of Supply (PES),Time for the last elasticity concept we will introduce! First let's define Price Elasticity of Supply.,openlectures,http://youtu.be/TnrbipT3KVA,Define the PES,What is the definition of the PES?,"Responsiveness of quantity supplied to a change in price, ceteris paribus.",1,http://www.mediafire.com/?eruatd41opo1n34,,Price Elasticity of Supply,Elasticities,Resource Allocation in Competitive Markets,Economics
43,Different Values Of PES,"Now that we are done with the definition of PES, what do different values of the PES indicate?",openlectures,http://youtu.be/s1ei8qIV8zQ,Understand the different values of the PES,A high tech machinery has a very inelastic price elasticity of supply. Give an approximate value!,"If it has a price inelastic supply, its quantity supplied should increase only very little when its price increases. Hence, its PES is between 0 and 1, probably very close to 0.",2,http://www.mediafire.com/?2nkpcj9un07epph,,Price Elasticity of Supply,Elasticities,Resource Allocation in Competitive Markets,Economics
44,Determinants Of PES,"Now that we understand the formal definition of PES, what are the determinants of PES?",openlectures,http://youtu.be/Il8O3cGMcfA,Understand the underlying determinants of the PES,List two of the determinants of the PES,Supply capabilities and time period.,3,http://www.mediafire.com/?u7r71h9ydgd9tq1,,Price Elasticity of Supply,Elasticities,Resource Allocation in Competitive Markets,Economics
45,Fixed Factors And Variable Factors,"You require both a factory and workers to produce something, say laptops. A worker seems different from a factory right? No shit! In economics, they are called fixed factors and variable factors.",openlectures,http://youtu.be/7X7vuOSkpmQ,Differentiate between fixed and variable factors,"If you want to increase production in the short run, which factor do you increase?","The variable factor! The fixed factor is well, fixed in the short run.",1,http://www.mediafire.com/?66zj66mtej6ecfm,,Factors of Production and Time,Theory of the Firm,Firms and How They Operate,Economics
46,Short Run And Long Run (Not Skirt And Jackets),"Short run and long run are seemingly ambiguous terms. In economics, they mean something rather precise.",openlectures,http://youtu.be/_Pz7nXkhozE,Differentiate between the short and long run,"In the long run, all factors (including what used to be fixed factors in the short run) are variable. True or false?","True. In the long run, a firm will be able to vary all its factors of production including those considered fixed in the short run.",2,http://www.mediafire.com/?qtb2888n481587f,,Factors of Production and Time,Theory of the Firm,Firms and How They Operate,Economics
47,Law Of Diminishing Returns,Now we're at production in the short run. First we explore a concept that is fundamental to our understanding of production - the law of diminishing returns.,openlectures,http://youtu.be/bqW3iWt8G_I,Define the Law of Diminishing Returns,What is the Law of Diminishing Returns?,"When one of more factors are held fixed, in this case the size of your factory, there will come a point beyond which the extra output from additional units of the variable factor, in this case labour, will diminish.",1,http://www.mediafire.com/?qe5b1cndbde1v9q,,Production in the Short Run,Theory of the Firm,Firms and How They Operate,Economics
48,Total Cookies,"Let's look at the output first. Then we'll derive costs from output. In other words, for now, we look at the number of goods produced by a firm given a certain input. Total product is simply the total amount of goods you produce.",openlectures,http://youtu.be/Zm0cOLiz7ns,Define Total Product,"What concept does the ""n"" shape of the total product curve represent?",The Law of Diminishing Returns,2,http://www.mediafire.com/?cif4r12di9hzwcr,,Production in the Short Run,Theory of the Firm,Firms and How They Operate,Economics
49,Average Cookies And Marginal Cookies,Now let's look at the next two numbers we deal with frequently - average product and marginal product. The average product is the number of goods produced per worker. The marginal product is the additional revenue brought on by one additional unit.,openlectures,http://youtu.be/esF7XsQtZow,Define Average Product and Marginal Product and understand their relationship,How do you define the marginal product?,It is the product contributed by one additional unit of input (for example labour).,3,http://www.mediafire.com/?45a53qkjok4c2hq,,Production in the Short Run,Theory of the Firm,Firms and How They Operate,Economics
50,Classroom Of Average And Marginals,The relationship between averages and marginals can be generalised. Let's use an example to illustrate this.,openlectures,http://youtu.be/eLulvLDtTHk,Understand a general relationship between average values and marginal values,"If the average product is 10 and the marginal product of one worker is 8, will the average product decrease or increase?","The average product will decrease since the additional worker fetches less than the average. The additional product hence ""pulls"" the average down.",4,http://www.mediafire.com/?hw94wdecwlqztnn,,Production in the Short Run,Theory of the Firm,Firms and How They Operate,Economics
51,Revisiting Opportunities,"Now that you've learnt how the output of a firm behaves when you vary the input (in labour or in other variable factors), let's move on to costs. First, let's learn what opportunity cost is.",openlectures,http://youtu.be/uqOl0fUo5-I,Define opportunity cost,"If I earn $100 dollars a day when I work, what is my opportunity cost when I take a day of unpaid leave?",The opportunity cost is $100 because you are missing out on the $100 you could have got if you went to work!,1,http://www.mediafire.com/?0gbs6mrr22qpxcr,,Costs in the Short Run,Theory of the Firm,Firms and How They Operate,Economics
52,Total Cost,"Let's look at our first number for costs - total costs. Cost is inversely related to total product. If one worker costs $100 per month and he can produce 5 goods, the cost per product is $20. If he can produce more goods, cost per unit goes lower. Total costs then goes lower. Hence, the Law of Diminishing Returns causes costs to increase as production increases.",openlectures,http://youtu.be/3ioAX95xVQ8,Understand how products relate to cost.,"If each worker can produce more goods and their salary stays the same, what happens to the cost per unit of good?","The cost decreases since each worker's salary stays the same, but now he produces more goods! The cost per unit of good decreases.",2,http://www.mediafire.com/?vbmg933as3jrhb9,,Costs in the Short Run,Theory of the Firm,Firms and How They Operate,Economics
53,Average And Marginal Costs,"Now let's look at another application of the average and marginals concept, this time for costs. The same rules apply here.",openlectures,http://youtu.be/19jhUzoSM3o,Define average and marginal costs.,The marginal cost curve cuts the average cost curve at the bottom point of the average cost curve. True or false?,True! Average cost only increases when marginal cost is higher than average cost. ,3,http://www.mediafire.com/?kbh2m3zjkuvjd8q,,Costs in the Short Run,Theory of the Firm,Firms and How They Operate,Economics
54,The Math Of Averages And Marginals,"The relationship between average cost and marginal cost can be expressed elegantly using simple mathematics. With a bit of calculus, we proceed!",openlectures,http://youtu.be/LK6GtIDah9Q,Understand average and marginal cost using differentiation.,What is the conclusion of this mathematical exercise?,"Again, that the marginal cost curve cuts the average cost curve at the bottom of the average cost curve.",4,http://www.mediafire.com/?8zvwi7qh91b8x5j,,Costs in the Short Run,Theory of the Firm,Firms and How They Operate,Economics
55,Thinking Big,"In the long run, we can vary every single factor of production. Even what used to be fixed factors of production become variable in the long run. Then we can see what happens to output when we vary all the factors of production.",openlectures,http://youtu.be/J5gVBJGG2_0,"Define increasing, constant, and decreasing returns to scale.","If I increase my factory size and labour force by 2 times, and my output increases by 3 times, am I facing increasing or decreasing returns to scale?","Increasing, simply because your output increases more than proportionately.",1,http://www.mediafire.com/?8kzdn8n3x5m9azf,,Long Run Theory of Production,Theory of the Firm,Firms and How They Operate,Economics
56,When I Grow Up I Wanna Have Economies Of Scale,"But what is the reason for increasing returns to scale? Well as firms grow larger, they tend to accumulate cost savings. Let's learn what those savings are.",openlectures,http://youtu.be/3yFcGx5qoas,List different types of economies of scale.,What are two reasons for economies of scale occuring?,There are many of them listed in the video! Indivisibilities and specialisation are just two of them.,2,http://www.mediafire.com/?7848hu7hkm1cpf8,,Long Run Theory of Production,Theory of the Firm,Firms and How They Operate,Economics
57,Too Big?,"However, when a firm gets too big, it faces increasing costs, hence decreasing returns to scale. Let's see what those are.",openlectures,http://youtu.be/BlJWthCzhcA,List different types of diseconomies of scale.,What is one reason for diseconomies of scale?,A large and bureaucratic hierarchy can slow down a company!,3,http://www.mediafire.com/?71pn5z4n7z1doh7,,Long Run Theory of Production,Theory of the Firm,Firms and How They Operate,Economics
58,External Economies Of Scale,"Economies of scale not only applies to one single firm. When there are many similar firms congregating together, there are external economies of scale.",openlectures,http://youtu.be/7aH_8IAQ-4g,Define external economies of scale.,What does external economies of scale provide to firms?,They share knowledge and infrastructure.,4,http://www.mediafire.com/?tzn2qs21d48082h,,Long Run Theory of Production,Theory of the Firm,Firms and How They Operate,Economics
59,Size Matters,"If there are so many good things about growing big, why are there still small firms? Well turns out there are plenty of reasons for them to be around.",openlectures,http://youtu.be/rgk_-jsFhlA,Explain the existence of small firms.,Why do small firms exist?,"They may provide boutique, luxury goods. They may also be limited by a factor of production such that they cannot grow big. Also, their diseconomies of scale may set in very early.",5,http://www.mediafire.com/?0rj6s16gxuoqcee,,Long Run Theory of Production,Theory of the Firm,Firms and How They Operate,Economics
60,Long Run Average Costs,"We have related production and costs in the short run. Since we have just learnt long run production, let's relate that to long run costs.",openlectures,http://youtu.be/pYsV8ZIDi3I,Understand the shape of the long run average cost curve.,"Why does the long run average cost curve decrease, stay constant, then increase?","It simply reflects increasing, constant, then decreasing returns to scale. When a firm experiences increasing returns to scale, it is able to produce more output. Divided over input, the cost per output decreases, hence the LRAC decreases. When the product per input stays constant at the constant returns to scale section, the line remains flat. When product per input decreases, cost per product increases! Hence the U shape.",1,http://www.mediafire.com/?h5dpy1fi05k7fav,,Costs in the Long Run,Theory of the Firm,Firms and How They Operate,Economics
61,Relationship Between The LRAC And The SRAC,LRAC and SRAC sound like evil tongue twisters. Is there a relationship between these two values? Turns out there is!,openlectures,http://youtu.be/6FkFFvOIn8A,Understand the relationship between the LRAC and the SRAC,The LRAC envelopes many different SRACs (which are the many different scenarios that the firm may have). True or false?,True! In fact that is how you derive the LRAC.,2,http://www.mediafire.com/?kpmjjf34i43u464,,Costs in the Long Run,Theory of the Firm,Firms and How They Operate,Economics
62,Minimum Efficient Scale,"In economics, there is always something special about the minimum point of a curve. So is there something special about the bottom point of the LRAC?",openlectures,http://youtu.be/EhfhYJW1HGo,Define the Minimum Efficient Scale,Where does the MES occur?,At the bottom point of the LRAC.,3,http://www.mediafire.com/?9x2f4bfd6kg3ohy,,Costs in the Long Run,Theory of the Firm,Firms and How They Operate,Economics
63,Total Revenue,"Congratulations! You have just finished the ""costs"" half of Theory of the Firm. Let's move on to Revenue!",openlectures,http://youtu.be/gHftcaeZyoc,Define Total Revenue,What is is total revenue?,It is simply the total amount that a firm earns.,1,http://www.mediafire.com/?ip5t65y3wb10j1r,,Revenue,Theory of the Firm,Firms and How They Operate,Economics
64,Average Revenue,"Now that you have learnt what total revenue is, average revenue should be intuitive. It is simply total revenue divided by the number of goods you sell. It is also the price of your good.",openlectures,http://youtu.be/tPbrfoBmG4U,Define Average Revenue,Is the average revenue always equal to price?,"Yes! Because P*Q=TR=AR*Q, hence average revenue is always equal to price.",2,http://www.mediafire.com/?pdwxk6em3i520m1,,Revenue,Theory of the Firm,Firms and How They Operate,Economics
